dataset,sequences,unique_sequences,nt_sites,codon_sites,multiple_of_3,gc_percent,gap_percent,ambiguous_percent,variable_sites,variable_sites_percent,parsimony_informative_sites,parsimony_informative_sites_percent,mean_pairwise_identity_percent,tree_present,taxon_names_unique,file_size_kb
Bacterial_PTS_trehalose_transporter_suIII.nex,16,16,1917,639,yes,41.65,0.0,0.0,989,51.59,832,43.4,79.55,yes,yes,31.9
COXI.mtnex,21,21,1530,510,yes,43.21,0.0,0.0,722,47.19,628,41.05,79.69,yes,yes,32.7
ENCenv.nex,23,23,1500,500,yes,50.88,0.0,0.0,496,33.07,380,25.33,90.4,yes,yes,34.7
HIV_RT.nex,476,475,1005,335,yes,37.09,27.92,0.67,513,51.04,462,45.97,93.08,yes,yes,485.6
HIVvif.masked_nex,29,29,576,192,yes,41.13,0.02,0.0,218,37.85,122,21.18,93.3,yes,yes,17.5
HIVvif.nex,29,29,576,192,yes,41.13,0.0,0.0,221,38.37,122,21.18,93.27,yes,yes,17.5
HepatitisD.nex,33,33,588,196,yes,59.21,0.68,0.29,305,51.87,265,45.07,81.83,yes,yes,20.6
IAV-human-H1N1-HA.nex,466,466,1767,589,yes,41.32,4.04,0.03,1006,56.93,720,40.75,95.2,yes,yes,826.9
InfluenzaA.nex,349,349,987,329,yes,44.24,0.0,0.01,479,48.53,307,31.1,96.66,yes,yes,351.5
SARS-CoV-2-spike.nex,180,170,3852,1284,yes,37.27,1.03,0.0,254,6.59,120,3.12,99.47,yes,yes,731.8
adh.nex,23,23,762,254,yes,53.97,0.0,0.0,359,47.11,271,35.56,82.33,yes,yes,17.9
adora3.nex,67,66,321,107,yes,45.38,0.0,0.05,225,70.09,203,63.24,83.92,yes,yes,25.3
bglobin.nex,17,17,432,144,yes,55.34,0.0,0.0,299,69.21,221,51.16,75.53,yes,yes,8.0
camelid.nex,212,212,288,96,yes,55.16,2.74,0.0,255,88.54,230,79.86,82.7,yes,yes,68.6
flavNS5.nex,18,18,1026,342,yes,54.15,0.0,0.0,565,55.07,491,47.86,74.37,yes,yes,18.9
lysin.nex,25,25,402,134,yes,46.16,1.79,0.0,279,69.4,221,54.98,73.64,yes,yes,18.0
lysozyme.nex,19,19,390,130,yes,45.22,0.0,0.0,66,16.92,45,11.54,95.17,yes,yes,8.5
mammalian_mtDNA.mtnex,20,20,9993,3331,yes,42.32,0.0,0.0,5670,56.74,4997,50.01,75.31,yes,yes,196.2
rbcL.nex,483,483,1398,466,yes,43.97,3.84,2.62,1188,84.98,874,62.52,91.27,yes,yes,714.6
rbp3.nex,54,54,1236,412,yes,62.86,3.21,0.02,861,69.66,720,58.25,81.84,yes,yes,69.0
vwf.nex,62,62,1176,392,yes,61.6,2.01,1.08,859,73.04,683,58.08,83.01,yes,yes,75.6
yokoyama.rh1.cds.mod.1-990.nex,38,38,990,330,yes,54.34,0.75,0.0,570,57.58,472,47.68,79.58,yes,yes,38.5
